dep_variable,Policy0,Policy1,Policy2,Policy3,Policy4,Policy5,Policy6,Policy7,Policy8,Policy9,Policy10,Policy11,Policy12,Policy13,Policy14,Policy15,Policy16,Policy17,Policy18,Policy19,Policy20,Policy21,Policy22,Policy23,Policy24,Policy25,Policy26,Policy27,Policy28,Policy29,Policy30,Policy31,Policy32,Policy33,Policy34,Policy35,Policy36,Policy37,Policy38,Policy39,Policy40,Policy41,Policy42,Policy43,Policy44,Policy45,Policy46,Policy47,Policy48,Policy49
-0.24781431,0.0092132242,0.0010156697,-0.0002371225,-0.0001235184,0.0002155504,0.0002696272,0.0002894107,0.0002651135,0.0002927705,0.0001914969,0.0004141343,0.0004031871,-0.0001688472,-0.0003294781,-0.0001687355,-0.0001319224,-0.0003190297,0.0000775091,-0.0000778962,0.0002401042,0.0006343869,0.0004669719,0.0004674077,0.0003657837,0.0002306732,0.0002115546,0.0001733280,0.0003801827,-0.0005562050,-0.0004415841,-0.0003208080,-0.0004705574,-0.0003622860,-0.0004856444,-0.0003673813,-0.0003296897,-0.0002853848,-0.0003626517,-0.0003467993,-0.0003001032,-0.0004334571,-0.0003620930,-0.0003755673,-0.0003978077,-0.0003881133,-0.0002881676,-0.0002789170,-0.0002905704,-0.0004404231,-0.0003717579
-0.27786863,0.0010156697,0.0109976809,-0.0002671089,-0.0002184302,0.0001954052,0.0002543780,0.0002606070,0.0002783337,0.0002390547,0.0001356100,0.0005059112,0.0005793148,-0.0002025345,-0.0003706728,-0.0002275996,-0.0001660636,-0.0003679333,-0.0000070131,-0.0001472802,0.0002632960,0.0004184007,0.0005226791,0.0005061590,0.0004075166,0.0002521337,0.0002484343,0.0002101648,0.0004158906,-0.0005871265,-0.0004707678,-0.0003584318,-0.0004726452,-0.0003675854,-0.0004687860,-0.0003525666,-0.0003001116,-0.0002784806,-0.0003531155,-0.0003558032,-0.0003014733,-0.0004337399,-0.0004036266,-0.0004079625,-0.0004191706,-0.0004005626,-0.0003050848,-0.0002930921,-0.0003042095,-0.0004528266,-0.0003640993
-0.39138252,-0.0002371225,-0.0002671089,0.0124128518,0.0000383946,-0.0001414100,-0.0000934200,-0.0001625915,-0.0001224219,0.0000099908,0.0002909684,-0.0002709533,-0.0002088989,-0.0001652983,-0.0002857230,-0.0003413007,-0.0002934313,-0.0003296014,-0.0003427661,-0.0003461105,-0.0003970846,-0.0003042468,-0.0002301493,-0.0002591068,-0.0002746849,-0.0003494879,-0.0003609720,-0.0004156630,-0.0003081827,-0.0004138223,-0.0002882265,-0.0001377487,-0.0000931130,-0.0001265489,-0.0000598413,0.0005556355,0.0004313067,0.0010694546,0.0005550302,0.0006784734,-0.0001743769,-0.0002525662,-0.0001721900,-0.0002102846,-0.0002208518,-0.0002032432,-0.0001268571,-0.0001041102,-0.0000858883,-0.0002735885,-0.0002054646
-0.04114975,-0.0001235184,-0.0002184302,0.0000383946,0.0166433652,0.0000250405,-0.0000590643,-0.0000604391,-0.0000413747,0.0000348603,0.0000608967,-0.0002427117,-0.0001979265,0.0002320602,0.0000048737,0.0001151789,0.0001949425,0.0003377653,-0.0000084526,0.0000230774,-0.0002638703,-0.0001559502,-0.0001901286,-0.0002125520,-0.0002394977,-0.0002689994,-0.0002677282,-0.0003345728,-0.0002257011,-0.0003819883,-0.0000842632,0.0000208475,-0.0000431062,-0.0002809863,-0.0002554843,-0.0002398421,-0.0001926593,-0.0001677652,-0.0001912621,-0.0001786571,-0.0002266187,-0.0003235078,-0.0002830217,-0.0003137640,-0.0003452138,-0.0003431242,-0.0002254131,-0.0002025743,-0.0002071419,-0.0003993745,-0.0003395681
-0.13772199,0.0002155504,0.0001954052,-0.0001414100,0.0000250405,0.0046424384,0.0005464130,0.0005314683,0.0006378296,0.0004553989,0.0001836986,0.0001696025,0.0001255274,-0.0000322814,-0.0000941958,0.0000764651,0.0000093819,-0.0001327915,0.0000983646,0.0000272146,0.0002153048,0.0003712695,0.0004121252,0.0003638092,0.0002869006,0.0004976598,0.0004077017,0.0004150968,0.0004285948,-0.0004007633,-0.0002378692,-0.0001691931,-0.0002884558,-0.0002549153,-0.0003504974,-0.0002451564,-0.0002293896,-0.0001987727,-0.0002602584,-0.0002497931,-0.0002314556,-0.0003560461,-0.0003480404,-0.0003540215,-0.0003698993,-0.0003642723,-0.0002330168,-0.0002545588,-0.0002595824,-0.0003646059,-0.0003092430
-0.020631583,0.0002696272,0.0002543780,-0.0000934200,-0.0000590643,0.0005464130,0.0039872885,0.0013374137,0.0007698498,0.0006235397,0.0003384480,0.0001623472,0.0001406698,-0.0001203007,-0.0002311937,-0.0001397873,-0.0001380028,-0.0002300101,-0.0000025953,-0.0001002160,0.0000579062,0.0002593289,0.0005168101,0.0004548811,0.0002922460,0.0003961066,0.0003639875,0.0002950654,0.0003809249,-0.0004359261,-0.0003271909,-0.0002025119,-0.0003653838,-0.0002861411,-0.0003826648,-0.0002250203,-0.0002114297,-0.0001754704,-0.0002572660,-0.0002389630,-0.0002514216,-0.0003750655,-0.0003511265,-0.0003630149,-0.0003690780,-0.0003505841,-0.0002272569,-0.0002586561,-0.0002583310,-0.0003958229,-0.0003321403
-0.26251388,0.0002894107,0.0002606070,-0.0001625915,-0.0000604391,0.0005314683,0.0013374137,0.0080794364,0.0007416231,0.0005564936,0.0002629825,0.0001745398,0.0001207053,-0.0000926261,-0.0002210335,-0.0001359376,-0.0001100765,-0.0002194624,-0.0000018204,-0.0000668838,0.0000974786,0.0004195225,0.0005222400,0.0004697462,0.0003397362,0.0004585527,0.0004238032,0.0003792866,0.0004384815,-0.0004675016,-0.0003583356,-0.0002288370,-0.0003788114,-0.0003067008,-0.0003922790,-0.0002637406,-0.0002302235,-0.0002027020,-0.0002737390,-0.0002603667,-0.0002702386,-0.0004036474,-0.0003712864,-0.0003845763,-0.0003883793,-0.0003651324,-0.0002547655,-0.0002846177,-0.0002765944,-0.0004249397,-0.0003617259
-0.18850319,0.0002651135,0.0002783337,-0.0001224219,-0.0000413747,0.0006378296,0.0007698498,0.0007416231,0.0047306204,0.0006133071,0.0002324269,0.0001956889,0.0001675633,-0.0000775285,-0.0001881830,-0.0000918501,-0.0000796119,-0.0001907440,0.0000818624,-0.0000341586,0.0001372576,0.0003812923,0.0005808250,0.0005045000,0.0003597575,0.0005216611,0.0004769998,0.0004125211,0.0005424815,-0.0004066443,-0.0002661498,-0.0001623399,-0.0003182133,-0.0002907570,-0.0003909902,-0.0002827234,-0.0002526851,-0.0002122208,-0.0002815730,-0.0002681159,-0.0002494447,-0.0003741507,-0.0003652154,-0.0003780036,-0.0003876695,-0.0003748828,-0.0002357881,-0.0002787813,-0.0002733935,-0.0003975420,-0.0003352834
0.050158139,0.0002927705,0.0002390547,0.0000099908,0.0000348603,0.0004553989,0.0006235397,0.0005564936,0.0006133071,0.0100933258,0.0003755499,0.0002265977,0.0002355924,-0.0000479013,-0.0002156023,-0.0000520493,-0.0000466461,-0.0002031224,0.0000985489,-0.0000550128,0.0001186221,0.0002178201,0.0003274217,0.0002980438,0.0002935959,0.0002883874,0.0002281233,0.0001998489,0.0003417146,-0.0004799333,-0.0003238466,-0.0002111215,-0.0003094183,-0.0002799483,-0.0003623072,-0.0002852969,-0.0002380725,-0.0002075095,-0.0002668244,-0.0002621560,-0.0002549958,-0.0003896527,-0.0003644406,-0.0003748869,-0.0003887593,-0.0003695439,-0.0002556166,-0.0002433396,-0.0002734432,-0.0004089600,-0.0003153845
-0.093245372,0.0001914969,0.0001356100,0.0002909684,0.0000608967,0.0001836986,0.0003384480,0.0002629825,0.0002324269,0.0003755499,0.0029965630,0.0000961782,0.0000835429,0.0000374157,-0.0000917380,-0.0000768158,-0.0000444869,-0.0001538332,0.0000036095,-0.0000845260,0.0000037026,0.0001539417,0.0002516494,0.0001991368,0.0001373747,0.0000637725,0.0000292439,-0.0000368134,0.0001353116,-0.0003407570,-0.0001808464,-0.0000997600,-0.0001842783,-0.0002659177,-0.0002822680,-0.0001981879,-0.0001813521,-0.0001133586,-0.0001908317,-0.0001735766,-0.0002166907,-0.0003339811,-0.0002819680,-0.0002941267,-0.0003106978,-0.0002863059,-0.0002048361,-0.0001998217,-0.0001986251,-0.0003422279,-0.0002923043
